iter	Accuracy	Logloss
2381	0.8655450101	0.2945841392
2382	0.8655450101	0.2945532724
2383	0.8656888122	0.2945273775
2384	0.8656888122	0.2944953517
2385	0.8656888122	0.2944830463
2386	0.8656888122	0.2944519551
2387	0.8658326143	0.294427478
2388	0.8658326143	0.2943890653
2389	0.8658326143	0.2943720959
2390	0.8658326143	0.2943371274
2391	0.8659764165	0.2943087346
2392	0.8659764165	0.2942907108
2393	0.8659764165	0.2942702699
2394	0.8659764165	0.2942447053
2395	0.8659764165	0.2942347561
2396	0.8659764165	0.2942110505
2397	0.8659764165	0.2941813734
2398	0.8658326143	0.2941480166
2399	0.8659764165	0.2941100614
2400	0.8659764165	0.2940550038
2401	0.8659764165	0.2940170624
2402	0.8661202186	0.2939813072
2403	0.8664078228	0.2939410193
2404	0.866551625	0.293904176
2405	0.8666954271	0.2938846722
2406	0.8666954271	0.2938389009
2407	0.8668392292	0.2938046859
2408	0.8668392292	0.2937870617
2409	0.8669830313	0.293749804
2410	0.8669830313	0.2937158962
2411	0.8672706356	0.293680861
2412	0.8672706356	0.2936561234
2413	0.8671268335	0.2936100708
2414	0.8669830313	0.2935718014
2415	0.8671268335	0.2935473192
2416	0.8669830313	0.293523335
2417	0.8669830313	0.2934999094
2418	0.8668392292	0.2934861302
2419	0.8669830313	0.2934541772
2420	0.8674144377	0.2934209683
2421	0.8672706356	0.2933843824
2422	0.8672706356	0.2933569022
2423	0.8672706356	0.2933385641
2424	0.8672706356	0.2933128578
2425	0.8675582399	0.2932922845
2426	0.8672706356	0.2932425082
